domain,brand_stem,mirrors,operator,licence,jurisdiction,licence_status,expires,already_in_pool,all_domains,status,contacted_on,live,http,title,reason,brand_name
tonyspins.com,tonyspins,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,tonyspins.com,not contacted,,yes,200,ᐈ Tonyspins - Play Slots Online For Free or Real Money,,ᐈ Tonyspins
winbeatz.com,winbeatz,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,winbeatz.com,not contacted,,yes,200,ᐈ Winbeatz - Play Slots Online For Free or Real Money,,ᐈ Winbeatz
shangrila.com,shangrila,1,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,shangrila.com shangrila.live,not contacted,,yes,200,,,
kml55.com,kml,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,kml55.com,not contacted,,yes,200,Domain Information,,Domain Information
sfg51.com,sfg,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,sfg51.com,not contacted,,yes,200,"paٷΨһҳ,Ӯһ",,"paٷΨһҳ,Ӯһ"
shangrilalive.com,shangrilalive,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,shangrilalive.com,not contacted,,yes,200,,,
shangrilavip.com,shangrilavip,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,shangrilavip.com,not contacted,,yes,200,,,
justcasino.io,justcasino,85,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,justcasino.io justcasino.com justcasino1.io justcasino3.io justcasino2.io justcasino5.com justcasino7.com justcasino0.com,not contacted,,yes,200,,,
ajaxbet.com,ajaxbet,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,ajaxbet.com,not contacted,,yes,200,AJAXBET - Ajaxbet Türkiye'nin En Güvenilir Bahis Sitesi,,AJAXBET
betlist.com,betlist,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,betlist.com,not contacted,,yes,200,Betlist Giriş | Betlist Güncel Oranlar ve Canlı Casino,,Betlist Giriş
dellabet.com,dellabet,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,dellabet.com,not contacted,,yes,200,Dellabet - Dellabet - Türkiye'nin En İyi Bahis Sitesi,,Dellabet
etabet.com,etabet,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,etabet.com,not contacted,,yes,200,Etabet - Türkiye'nin En Özel Canlı Casino Ve Bahis Sitesi -,,Etabet
galaxybetting.com,galaxybetting,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,galaxybetting.com,not contacted,,yes,200,,URLError,
herabet.com,herabet,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,herabet.com,not contacted,,yes,200,Herabet Güncel Giriş | Spor Bahisleri & Casino 2026,,Herabet Güncel Giriş
holeybet.com,holeybet,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,holeybet.com,not contacted,,yes,200,,,
hullbet.com,hullbet,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,hullbet.com,not contacted,,yes,200,Hullbet - Hullbet.com Türkiye'nin En Güvenilir Bahis Şirketi,,Hullbet
locabet.com,locabet,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,locabet.com,not contacted,,yes,200,Locabet Platformu » Locabet Giriş » 2026 Güncel Adres,,
meritpremium.com,meritpremium,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,meritpremium.com,not contacted,,yes,200,Merit Premium — En Güncel Giriş Adresi ve Bonus Fırsatları,,Merit Premium
portobet.com,portobet,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,portobet.com,not contacted,,yes,200,Portobet - En Güncel Giriş Adresi ve Bonus Fırsatları,,Portobet
slotella.com,slotella,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,slotella.com,not contacted,,yes,200,Slotella - En Güncel Giriş Adresi ve Bonus Fırsatları -,,Slotella
slotrun.com,slotrun,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,slotrun.com,not contacted,,yes,200,Slotrun - Online Oyun Platformu | Tarayıcı Tabanlı Multiplayer Oyunlar,,Slotrun
slotspor.com,slotspor,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,slotspor.com,not contacted,,yes,200,Slotspor Giriş | Güncel Adres - 2026 Rehber,,Slotspor Giriş
suprabahis.com,suprabahis,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,suprabahis.com,not contacted,,yes,200,"Supra Bahis Giriş – SupraBahis: Kazancın En Hızlı Hali, Güvenin Tek Adresi!",,Supra Bahis Giriş
vimobet.com,vimobet,1,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,vimobet.com vimobet65.com,not contacted,,yes,200,,,
africanobet.com,africanobet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,africanobet.com,not contacted,,yes,200,New Generation Betting Site-Live Betting-Sports Betting-Reliable Betting Site-Live Casino-,,New Generation Betting Site
arabbet24.com,arabbet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,arabbet24.com,not contacted,,yes,200,Arabbet24 — A World of Games and Rewards,,Arabbet24
enebet.com,enebet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,enebet.com,not contacted,,yes,200,Enebet - New Generation Betting Site-Live Betting-Sports Betting-Reliable Betting Site-Liv,,Enebet
icombet.com,icombet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,icombet.com,not contacted,,yes,200,Betting website,,Betting website
ivobet.com,ivobet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,ivobet.com,not contacted,,yes,200,,,
lavabet.com,lavabet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,lavabet.com,not contacted,,yes,200,Lavabet | Best Online Betting & Casino Platform,,Lavabet
menabet.com,menabet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,menabet.com,not contacted,,yes,200,,,
newbet216.com,newbet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,newbet216.com,not contacted,,yes,200,Betting website,,Betting website
nicewinz.com,nicewinz,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,nicewinz.com,not contacted,,yes,200,"NiceWin – Online Casino, Live Casino & Sports Betting Platform - Nicewinz",,NiceWin
vivabet24.com,vivabet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,vivabet24.com,not contacted,,yes,200,,URLError,
wionbet.com,wionbet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,wionbet.com,not contacted,,yes,200,Wionbet - Betting Website - First Licensed Online Casino in Jordan | Anytime Cash Out & Vi,,Wionbet
zeabet777.com,zeabet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,zeabet777.com,not contacted,,yes,200,"ZeaBet – Online Casino, Live Casino & Sports Betting Platform - ZeaBet",,ZeaBet
betcrush.com,betcrush,0,Modern World Entertainment B.V.,OGL/2024/1335/0780,Curacao,assessment in progress,"December 24, 2025",yes,betcrush.com,not contacted,,yes,200,Betcrush Casino,,Betcrush Casino
herculescasino.com,herculescasino,0,Modern World Entertainment B.V.,OGL/2024/1335/0780,Curacao,assessment in progress,"December 24, 2025",no,herculescasino.com,not contacted,,yes,200,,,
vegazcasino.com,vegazcasino,0,Modern World Entertainment B.V.,OGL/2024/1335/0780,Curacao,assessment in progress,"December 24, 2025",yes,vegazcasino.com,not contacted,,yes,200,vegazcasino,,vegazcasino
aajogo.com,aajogo,0,Pistis Trade N.V.,OGL/2024/1670/1153,Curacao,active,"November 9, 2025",no,aajogo.com,not contacted,,yes,200,"AAJogo | Online Casino,Jogos de Criptografia Hash,Cassino Justo Rastreável",,AAJogo
betfiery.com,betfiery,0,Pistis Trade N.V.,OGL/2024/1670/1153,Curacao,active,"November 9, 2025",no,betfiery.com,not contacted,,yes,200,"BetFiery | Online Casino,Jogos de Criptografia Hash,Cassino Justo Rastreável",,BetFiery
betmxs.com,betmxs,0,Pistis Trade N.V.,OGL/2024/1670/1153,Curacao,active,"November 9, 2025",no,betmxs.com,not contacted,,yes,200,BETMXS,,BETMXS
blue.game,blue,0,Pistis Trade N.V.,OGL/2024/1670/1153,Curacao,active,"November 9, 2025",no,blue.game,not contacted,,yes,200,,HTTP 526,
brazspin.com,brazspin,0,Pistis Trade N.V.,OGL/2024/1670/1153,Curacao,active,"November 9, 2025",no,brazspin.com,not contacted,,yes,200,,,
brazstar.com,brazstar,0,Pistis Trade N.V.,OGL/2024/1670/1153,Curacao,active,"November 9, 2025",no,brazstar.com,not contacted,,yes,200,,,
evogam.com,evogam,0,Pistis Trade N.V.,OGL/2024/1670/1153,Curacao,active,"November 9, 2025",no,evogam.com,not contacted,,yes,200,,,
gaming-panda.com,gamingpanda,0,Pistis Trade N.V.,OGL/2024/1670/1153,Curacao,active,"November 9, 2025",no,gaming-panda.com,not contacted,,yes,200,"Gaming Panda – Access to Slot, Scratch & Other High-Quality Games",,Gaming Panda
hoy777.com,hoy,0,Pistis Trade N.V.,OGL/2024/1670/1153,Curacao,active,"November 9, 2025",no,hoy777.com,not contacted,,yes,200,Hoy777,,Hoy777
hoywin.com,hoywin,0,Pistis Trade N.V.,OGL/2024/1670/1153,Curacao,active,"November 9, 2025",no,hoywin.com,not contacted,,yes,200,HOYWIN,,HOYWIN
kklion.com,kklion,0,Pistis Trade N.V.,OGL/2024/1670/1153,Curacao,active,"November 9, 2025",no,kklion.com,not contacted,,yes,200,KK LION,,KK LION
loco777.com,loco,0,Pistis Trade N.V.,OGL/2024/1670/1153,Curacao,active,"November 9, 2025",no,loco777.com,not contacted,,yes,200,LOCO777,,LOCO777
mars.bingo,mars,0,Pistis Trade N.V.,OGL/2024/1670/1153,Curacao,active,"November 9, 2025",no,mars.bingo,not contacted,,yes,200,mars.bingo,,mars.bingo
mexboss.com,mexboss,0,Pistis Trade N.V.,OGL/2024/1670/1153,Curacao,active,"November 9, 2025",no,mexboss.com,not contacted,,yes,200,MEXBOSS,,MEXBOSS
mexlucky.com,mexlucky,0,Pistis Trade N.V.,OGL/2024/1670/1153,Curacao,active,"November 9, 2025",no,mexlucky.com,not contacted,,yes,200,"MexLucky | Casino en línea, juegos de cifrado hash, casino justo rastreableo",,MexLucky
mexswin.com,mexswin,0,Pistis Trade N.V.,OGL/2024/1670/1153,Curacao,active,"November 9, 2025",no,mexswin.com,not contacted,,yes,200,Mexswin,,Mexswin
mx7k.com,mxk,0,Pistis Trade N.V.,OGL/2024/1670/1153,Curacao,active,"November 9, 2025",no,mx7k.com,not contacted,,yes,200,MX7K,,MX7K
philucky.com,philucky,0,Pistis Trade N.V.,OGL/2024/1670/1153,Curacao,active,"November 9, 2025",no,philucky.com,not contacted,,yes,200,"Invite friends to join Philucky and participate in free activities, you can receive 200PHP",,
psewin.com,psewin,0,Pistis Trade N.V.,OGL/2024/1670/1153,Curacao,active,"November 9, 2025",no,psewin.com,not contacted,,yes,200,"PSEWIN | Online Casino,Hash Encryption Games,Traceable Fair Casino",,PSEWIN
vbet.kg,vbet,1,Radon B.V.,OGL/2024/802/0282,Curacao,assessment in progress,"December 24, 2025",no,vbet.kg vbet.com,not contacted,,yes,200,Betting website,,Betting website
allinn.com,allinn,0,Radon B.V.,OGL/2024/802/0282,Curacao,assessment in progress,"December 24, 2025",no,allinn.com,not contacted,,yes,200,allinn.com,,allinn.com
fantasticbet.com,fantasticbet,0,Radon B.V.,OGL/2024/802/0282,Curacao,assessment in progress,"December 24, 2025",no,fantasticbet.com,not contacted,,yes,200,Betting website,,Betting website
grombet.com,grombet,0,Radon B.V.,OGL/2024/802/0282,Curacao,assessment in progress,"December 24, 2025",no,grombet.com,not contacted,,yes,200,"Онлайн Казино, Ставки на Спорт, Ставки на Кіберспорт, Лайв Казино, Покер | grombet",,
horusbet.cl,horusbet,0,Radon B.V.,OGL/2024/802/0282,Curacao,assessment in progress,"December 24, 2025",no,horusbet.cl,not contacted,,yes,200,Home - Horusbet,,Home
odarobet.com,odarobet,0,Radon B.V.,OGL/2024/802/0282,Curacao,assessment in progress,"December 24, 2025",no,odarobet.com,not contacted,,yes,200,"ODAROBET — Online Casino, Slots & Sports Betting",,ODAROBET
vivaro.me,vivaro,0,Radon B.V.,OGL/2024/802/0282,Curacao,assessment in progress,"December 24, 2025",no,vivaro.me,not contacted,,yes,200,Feed - Vivaro.me,,Feed
jokacasino.com,jokacasino,1,Swervy International B.V.,OGL/2024/1340/0996,Curacao,active,"June 6, 2026",no,jokacasino.com jokacasino.online,not contacted,,yes,200,,,
betja.com,betja,0,Swervy International B.V.,OGL/2024/1340/0996,Curacao,active,"June 6, 2026",no,betja.com,not contacted,,yes,200,,,
betya.com,betya,0,Swervy International B.V.,OGL/2024/1340/0996,Curacao,active,"June 6, 2026",no,betya.com,not contacted,,yes,200,,,
jackpotjill.com,jackpotjill,0,Swervy International B.V.,OGL/2024/1340/0996,Curacao,active,"June 6, 2026",no,jackpotjill.com,not contacted,,yes,200,"Top Online Casino for Real Money Play 2026 | $7,500 Bonus +100 FS - Jackpot Jill",,
wildcardcity.com,wildcardcity,0,Swervy International B.V.,OGL/2024/1340/0996,Curacao,active,"June 6, 2026",no,wildcardcity.com,not contacted,,yes,200,,,
azerbet.com,azerbet,0,Elfy Interactive B.V.,OGL/2024/1279/0531,Curacao,assessment in progress,"December 24, 2025",no,azerbet.com,not contacted,,yes,200,Azerbet lic,,Azerbet lic
beinbet.com,beinbet,0,Elfy Interactive B.V.,OGL/2024/1279/0531,Curacao,assessment in progress,"December 24, 2025",no,beinbet.com,not contacted,,yes,200,Beinbet lic,,Beinbet lic
betewin.com,betewin,0,Elfy Interactive B.V.,OGL/2024/1279/0531,Curacao,assessment in progress,"December 24, 2025",yes,betewin.com,not contacted,,yes,200,Betewin Güncel Giriş Adresi 2025 | Yeni Betewin Linki ve Resmi Site,,Betewin Güncel Giriş Adresi 2025
betim.com,betim,0,Elfy Interactive B.V.,OGL/2024/1279/0531,Curacao,assessment in progress,"December 24, 2025",no,betim.com,not contacted,,yes,200,Betim,,Betim
betpin.com,betpin,0,Elfy Interactive B.V.,OGL/2024/1279/0531,Curacao,assessment in progress,"December 24, 2025",no,betpin.com,not contacted,,yes,200,Betpin lic,,Betpin lic
casimo.com,casimo,0,Elfy Interactive B.V.,OGL/2024/1279/0531,Curacao,assessment in progress,"December 24, 2025",no,casimo.com,not contacted,,yes,200,Casimo lic,,Casimo lic
casinoda.com,casinoda,0,Elfy Interactive B.V.,OGL/2024/1279/0531,Curacao,assessment in progress,"December 24, 2025",no,casinoda.com,not contacted,,yes,200,Casinoda lic,,Casinoda lic
jackpotz.com,jackpotz,0,Elfy Interactive B.V.,OGL/2024/1279/0531,Curacao,assessment in progress,"December 24, 2025",no,jackpotz.com,not contacted,,yes,200,Jackpotz lic,,Jackpotz lic
jokeras.com,jokeras,0,Elfy Interactive B.V.,OGL/2024/1279/0531,Curacao,assessment in progress,"December 24, 2025",no,jokeras.com,not contacted,,yes,200,Jokeras lic,,Jokeras lic
onlyspin.com,onlyspin,0,Elfy Interactive B.V.,OGL/2024/1279/0531,Curacao,assessment in progress,"December 24, 2025",no,onlyspin.com,not contacted,,yes,200,OnlySpin Giriş — Çevrimiçi Multiplayer Official Oyun Platformu,,OnlySpin Giriş
otobet.com,otobet,0,Elfy Interactive B.V.,OGL/2024/1279/0531,Curacao,assessment in progress,"December 24, 2025",yes,otobet.com,not contacted,,yes,200,Otobet,,Otobet
rigobet.com,rigobet,0,Elfy Interactive B.V.,OGL/2024/1279/0531,Curacao,assessment in progress,"December 24, 2025",no,rigobet.com,not contacted,,yes,200,Rigobet lic,,Rigobet lic
slotin.com,slotin,0,Elfy Interactive B.V.,OGL/2024/1279/0531,Curacao,assessment in progress,"December 24, 2025",yes,slotin.com,not contacted,,yes,200,Slotin,,Slotin
sortebet.com,sortebet,0,Elfy Interactive B.V.,OGL/2024/1279/0531,Curacao,assessment in progress,"December 24, 2025",no,sortebet.com,not contacted,,yes,200,Sortebet lic,,Sortebet lic
winover.com,winover,0,Elfy Interactive B.V.,OGL/2024/1279/0531,Curacao,assessment in progress,"December 24, 2025",no,winover.com,not contacted,,yes,200,Winover lic,,Winover lic
4mybet.com,mybet,0,Casiworx N.V.,OGL/2024/1278/0497,Curacao,active,"May 23, 2026",no,4mybet.com,not contacted,,yes,200,Welcome to nginx!,HTTP 521,Welcome to nginx!
freakybillion.com,freakybillion,0,Casiworx N.V.,OGL/2024/1278/0497,Curacao,active,"May 23, 2026",no,freakybillion.com,not contacted,,yes,200,,,
gambleverse.casino,gambleverse,0,Casiworx N.V.,OGL/2024/1278/0497,Curacao,active,"May 23, 2026",no,gambleverse.casino,not contacted,,yes,200,Ölüdeniz Hostel | Direct Booking,,Ölüdeniz Hostel
intellectbet.com,intellectbet,0,Casiworx N.V.,OGL/2024/1278/0497,Curacao,active,"May 23, 2026",no,intellectbet.com,not contacted,,yes,200,,,
norsewin.com,norsewin,0,Casiworx N.V.,OGL/2024/1278/0497,Curacao,active,"May 23, 2026",no,norsewin.com,not contacted,,yes,200,,,
pokerbetcasino.com,pokerbetcasino,0,Casiworx N.V.,OGL/2024/1278/0497,Curacao,active,"May 23, 2026",no,pokerbetcasino.com,not contacted,,yes,200,,,
rockstarwin.com,rockstarwin,0,Casiworx N.V.,OGL/2024/1278/0497,Curacao,active,"May 23, 2026",no,rockstarwin.com,not contacted,,yes,200,,,
slotobit.io,slotobit,0,Casiworx N.V.,OGL/2024/1278/0497,Curacao,active,"May 23, 2026",no,slotobit.io,not contacted,,yes,200,,,
slotorush.com,slotorush,0,Casiworx N.V.,OGL/2024/1278/0497,Curacao,active,"May 23, 2026",no,slotorush.com,not contacted,,yes,200,,,
slotystake.com,slotystake,0,Casiworx N.V.,OGL/2024/1278/0497,Curacao,active,"May 23, 2026",no,slotystake.com,not contacted,,yes,200,,,
stakebro.com,stakebro,0,Casiworx N.V.,OGL/2024/1278/0497,Curacao,active,"May 23, 2026",no,stakebro.com,not contacted,,yes,200,,,
stakemania.com,stakemania,0,Casiworx N.V.,OGL/2024/1278/0497,Curacao,active,"May 23, 2026",no,stakemania.com,not contacted,,yes,200,,,
vipcasino.online,vipcasino,0,Casiworx N.V.,OGL/2024/1278/0497,Curacao,active,"May 23, 2026",no,vipcasino.online,not contacted,,yes,200,,,
wincraft.casino,wincraft,0,Casiworx N.V.,OGL/2024/1278/0497,Curacao,active,"May 23, 2026",no,wincraft.casino,not contacted,,yes,200,,,
bateubet.bet,bateubet,0,Victoria Games Solutions B.V.,OGL/2024/746/0204,Curacao,active,"April 3, 2026",no,bateubet.bet,not contacted,,yes,200,bateubet.bet,,bateubet.bet
betinha.com,betinha,0,Victoria Games Solutions B.V.,OGL/2024/746/0204,Curacao,active,"April 3, 2026",no,betinha.com,not contacted,,yes,200,The premium domain name betinha.com is for sale. Buy it now!,,
fizabet.com,fizabet,0,Victoria Games Solutions B.V.,OGL/2024/746/0204,Curacao,active,"April 3, 2026",no,fizabet.com,not contacted,,yes,200,fiz a bet | fiz a bet,,fiz a bet
gramado.bet,gramado,0,Victoria Games Solutions B.V.,OGL/2024/746/0204,Curacao,active,"April 3, 2026",no,gramado.bet,not contacted,,yes,200,Jogadores Anônimos,,Jogadores Anônimos
jetbet365.com,jetbet,0,Victoria Games Solutions B.V.,OGL/2024/746/0204,Curacao,active,"April 3, 2026",no,jetbet365.com,not contacted,,yes,200,Loading...,URLError,Loading...
ragnar.bet,ragnar,0,Victoria Games Solutions B.V.,OGL/2024/746/0204,Curacao,active,"April 3, 2026",no,ragnar.bet,not contacted,,yes,200,RAGNAR.BET,,RAGNAR.BET
sortebet777.com,sortebet,0,Victoria Games Solutions B.V.,OGL/2024/746/0204,Curacao,active,"April 3, 2026",no,sortebet777.com,not contacted,,yes,200,sortebet777.com,,sortebet777.com
zilionz.com,zilionz,0,Victoria Games Solutions B.V.,OGL/2024/746/0204,Curacao,active,"April 3, 2026",no,zilionz.com,not contacted,,yes,200,,URLError,
baywin.com,baywin,0,Mill Interactive B.V.,OGL/2024/1282/0539,Curacao,assessment in progress,"December 24, 2025",yes,baywin.com,not contacted,,yes,200,Baywin - Baywin Giriş,,Baywin
betira.com,betira,0,Mill Interactive B.V.,OGL/2024/1282/0539,Curacao,assessment in progress,"December 24, 2025",yes,betira.com,not contacted,,yes,200,Betira lic,,Betira lic
betorspin.com,betorspin,0,Mill Interactive B.V.,OGL/2024/1282/0539,Curacao,assessment in progress,"December 24, 2025",no,betorspin.com,not contacted,,yes,200,Betorspin global,,Betorspin global
betpublic.com,betpublic,0,Mill Interactive B.V.,OGL/2024/1282/0539,Curacao,assessment in progress,"December 24, 2025",yes,betpublic.com,not contacted,,yes,200,SoloBet AMP,,SoloBet AMP
bycasino.com,bycasino,0,Mill Interactive B.V.,OGL/2024/1282/0539,Curacao,assessment in progress,"December 24, 2025",yes,bycasino.com,not contacted,,yes,200,Bycasino – Bycasino Giriş – Bycasino Güncel Giriş,,Bycasino
cola.com,cola,0,Mill Interactive B.V.,OGL/2024/1282/0539,Curacao,assessment in progress,"December 24, 2025",yes,cola.com,not contacted,,yes,200,Cola.com,,Cola.com
jasino.com,jasino,0,Mill Interactive B.V.,OGL/2024/1282/0539,Curacao,assessment in progress,"December 24, 2025",yes,jasino.com,not contacted,,yes,200,Jasino,,Jasino
ligobet.com,ligobet,0,Mill Interactive B.V.,OGL/2024/1282/0539,Curacao,assessment in progress,"December 24, 2025",yes,ligobet.com,not contacted,,yes,200,Ligobet,,Ligobet
luxslot.com,luxslot,0,Mill Interactive B.V.,OGL/2024/1282/0539,Curacao,assessment in progress,"December 24, 2025",yes,luxslot.com,not contacted,,yes,200,Luxslot lic,,Luxslot lic
northwin.com,northwin,0,Mill Interactive B.V.,OGL/2024/1282/0539,Curacao,assessment in progress,"December 24, 2025",yes,northwin.com,not contacted,,yes,200,Northwin lic,,Northwin lic
solobet.com,solobet,0,Mill Interactive B.V.,OGL/2024/1282/0539,Curacao,assessment in progress,"December 24, 2025",yes,solobet.com,not contacted,,yes,200,SoloBet AMP,,SoloBet AMP
zlot.com,zlot,0,Mill Interactive B.V.,OGL/2024/1282/0539,Curacao,assessment in progress,"December 24, 2025",yes,zlot.com,not contacted,,yes,200,Zlot - Zlot Giriş,,Zlot
fyffecasino.com,fyffecasino,0,Fruity Entertainment N.V.,OGL/2024/1487/0729,Curacao,assessment in progress,"December 24, 2025",no,fyffecasino.com,not contacted,,yes,200,,URLError,
kaahaus.com,kaahaus,0,Fruity Entertainment N.V.,OGL/2024/1487/0729,Curacao,assessment in progress,"December 24, 2025",no,kaahaus.com,not contacted,,yes,200,Tervetuloa Kaahaus Kasinolle - Uusi Nettikasino | Kaahaus,,Tervetuloa Kaahaus Kasinolle
kiekka.com,kiekka,0,Fruity Entertainment N.V.,OGL/2024/1487/0729,Curacao,assessment in progress,"December 24, 2025",no,kiekka.com,not contacted,,yes,200,Kiekka pikakasino - Ilmaiskierroksia & Jackpot voittoja | Kiekka,,Kiekka pikakasino
spinnair.com,spinnair,0,Fruity Entertainment N.V.,OGL/2024/1487/0729,Curacao,assessment in progress,"December 24, 2025",no,spinnair.com,not contacted,,yes,200,Spinnair Casino - Luotettava pikakasino & lennokkaat voitot | Spinnair,,Spinnair Casino
spinnaus.com,spinnaus,0,Fruity Entertainment N.V.,OGL/2024/1487/0729,Curacao,assessment in progress,"December 24, 2025",no,spinnaus.com,not contacted,,yes,200,Spinnaus Kasino - Pikakasino suomalaiseen makuun | Spinnaus,,Spinnaus Kasino
titaani.com,titaani,0,Fruity Entertainment N.V.,OGL/2024/1487/0729,Curacao,assessment in progress,"December 24, 2025",no,titaani.com,not contacted,,yes,200,Titaani Casino - Uusi pikakasino välittömillä kotiutuksilla | Titaani,,Titaani Casino
tykitys.com,tykitys,0,Fruity Entertainment N.V.,OGL/2024/1487/0729,Curacao,assessment in progress,"December 24, 2025",no,tykitys.com,not contacted,,yes,200,Tykitys Casino – Turvallinen suomalainen nettikasino | Tykitys,,Tykitys Casino
xwin.so,xwin,1,Bridge Technologies B.V.,OGL/2024/431/0231,Curacao,active,"June 6, 2026",no,xwin.so xwin.bet,not contacted,,yes,200,Xwin Casino - Login and Authentication | Recharge Rewards up to 360%,,Xwin Casino
6ense.vip,ense,0,Bridge Technologies B.V.,OGL/2024/431/0231,Curacao,active,"June 6, 2026",no,6ense.vip,not contacted,,yes,200,,,
8bmf8.com,bmf,0,Bridge Technologies B.V.,OGL/2024/431/0231,Curacao,active,"June 6, 2026",no,8bmf8.com,not contacted,,yes,200,Games Lobby : : BMF,,Games Lobby
hanzbet.com,hanzbet,0,Bridge Technologies B.V.,OGL/2024/431/0231,Curacao,active,"June 6, 2026",no,hanzbet.com,not contacted,,yes,200,HanzBet — Región no disponible,,HanzBet
k25.ai,k,0,Bridge Technologies B.V.,OGL/2024/431/0231,Curacao,active,"June 6, 2026",no,k25.ai,not contacted,,yes,200,K25 | Watch-to-Predict,,K25
luckybear.live,luckybear,0,Bridge Technologies B.V.,OGL/2024/431/0231,Curacao,active,"June 6, 2026",no,luckybear.live,not contacted,,yes,200,LuckyBear Casino - Login and Authentication | Recharge Rewards up to 360%,,LuckyBear Casino
riodeorocasino.com,riodeorocasino,0,Bridge Technologies B.V.,OGL/2024/431/0231,Curacao,active,"June 6, 2026",no,riodeorocasino.com,not contacted,,yes,200,,,
secure100.com,secure,0,Bridge Technologies B.V.,OGL/2024/431/0231,Curacao,active,"June 6, 2026",no,secure100.com,not contacted,,yes,200,Secure100,,Secure100
six-seven.bet,sixseven,0,Bridge Technologies B.V.,OGL/2024/431/0231,Curacao,active,"June 6, 2026",no,six-seven.bet,not contacted,,yes,200,Six Seven Bet,,Six Seven Bet
win777live.com,winlive,0,Bridge Technologies B.V.,OGL/2024/431/0231,Curacao,active,"June 6, 2026",no,win777live.com,not contacted,,yes,200,Win777 Casino | Sportsbook & Live Betting,,Win777 Casino
1xbet.com,xbet,3,Caecus N.V.,OGL/2024/1262/0493,Curacao,assessment in progress,"December 24, 2025",no,1xbet.com 1xbet.lat 1x-bet.com 1-x-bet.com,not contacted,,yes,203,,,
1x001.com,x,0,Caecus N.V.,OGL/2024/1262/0493,Curacao,assessment in progress,"December 24, 2025",no,1x001.com,not contacted,,yes,203,,,
1xcasino-af.com,xcasinoaf,0,Caecus N.V.,OGL/2024/1262/0493,Curacao,assessment in progress,"December 24, 2025",no,1xcasino-af.com,not contacted,,yes,203,,,
1xcasino-ar.com,xcasinoar,0,Caecus N.V.,OGL/2024/1262/0493,Curacao,assessment in progress,"December 24, 2025",no,1xcasino-ar.com,not contacted,,yes,203,,,
