operator,brands,contact_email,reachable,flagship_brand,flagship_site,newest_licence,name_is_reg_number,all_domains,status,contacted_on,notes
Rivolo Limited,1,,no,Metawin,https://metawin.com,2026-02-16,no,metawin.com,not contacted,,
Novarex Media Ltd,1,,no,HIT,https://hit.com,2026-02-16,no,hit.com,not contacted,,
PJK Trading Ltd,1,,no,Online Poker & Casino Thailand,https://pokerjoker.com,2026-02-16,no,pokerjoker.com,not contacted,,
3-102-953033 SRL,1,,no,Batcasino,https://batcasino.bet,2026-02-28,yes,batcasino.bet,not contacted,,
3-102-954988 SRL,1,,no,Gamealotroyale,https://gamealotroyale.com,2026-02-28,yes,gamealotroyale.com,not contacted,,
AIC Enterprises LLC,1,,no,AppleiCasino,https://appleicasino.com,2026-02-28,no,appleicasino.com,not contacted,,
Ameriserv LLC,1,,no,SportifPro,https://sportifpro.com,2026-02-28,no,sportifpro.com,not contacted,,
Broken Tentacle Ltd,1,,no,Castle,https://castle.com,2026-02-28,no,castle.com,not contacted,,
Desert Star Limited,1,,no,Cola.com,https://cola.com,2026-02-28,no,cola.com,not contacted,,
Gridline Limited,1,,no,Craze Casino,https://craze.casino,2026-02-28,no,craze.casino,not contacted,,
3-102-944179 SRL,1,,no,🎰 Еномо Казино,https://enomocasino.com,2026-03-01,yes,enomocasino.com,not contacted,,
3-102-939685 SRL,1,,no,Online Casino ve Spor Bahisleri,https://maksibet.com,2026-03-08,yes,maksibet.com,not contacted,,
3-102-951260 SRL,1,,no,LugarBet,https://lugarbet.com,2026-03-14,yes,lugarbet.com,not contacted,,
3-102-954365 SRL,1,,no,Bettogames,https://bettogames.com,2026-03-14,yes,bettogames.com,not contacted,,
Ceylonite Ltd,1,,no,Betss,https://betss.com,2026-03-14,no,betss.com,not contacted,,
Purple Dragon Ltd.,1,,no,Flush.io,https://flush.io,2026-03-14,no,flush.io,not contacted,,
Rambo Corp Limited,1,,no,Slotzula,https://slotzula.com,2026-03-14,no,slotzula.com,not contacted,,
3-102-950194 SRL,1,,no,dalercasino.com,https://dalercasino.com,2026-03-31,yes,dalercasino.com,not contacted,,
BET Fusion Ltd,1,,no,Betfuze,https://betfuze.com,2026-03-31,no,betfuze.com,not contacted,,
Brightshore Solutions Ltd,1,,no,EZBET 이지벳,https://ezbet.com,2026-03-31,no,ezbet.com,not contacted,,
Obsidian Ventures Limited,1,,no,Azure Static Web Apps,https://maxxed.io,2026-03-31,no,maxxed.io,not contacted,,
Silverline Source Ltd,1,,no,알파벳/ALPHABET / Alphabet,https://alphabet79.com,2026-03-31,no,alphabet79.com,not contacted,,
SOLSTART LTD,1,,no,Solstake.tv,https://solstake.tv,2026-03-31,no,solstake.tv,not contacted,,
Vantage Crest Ltd,1,,no,Home / 10xwin,https://10x.win,2026-03-31,no,10x.win,not contacted,,
3-102-953867 SRL,1,,no,Play & Host Online Poker Clubs,https://pokerclubhub.com,2026-04-14,yes,pokerclubhub.com,not contacted,,
3-102-954977 SRL,1,,no,Platform,https://rolly.info,2026-04-14,yes,rolly.info,not contacted,,
3-102-959375 SRL,1,,no,Place.bet Partners,https://placebet.partners,2026-04-14,yes,placebet.partners,not contacted,,
AceQueen Limited,1,,no,MYBC Casino,https://mybc.game,2026-04-14,no,mybc.game,not contacted,,
Calla Pulse Ltd,1,,no,Playify,https://playify.com,2026-04-14,no,playify.com,not contacted,,
Fortuna Dynamics Ltd,1,,no,Default Landing Page,https://betlexo.com,2026-04-14,no,betlexo.com,not contacted,,
Golden Ridge Group Ltd,1,,no,Herkulbet,https://herkulbet.com,2026-04-14,no,herkulbet.com,not contacted,,
Legenddrop Ltd,1,,no,LegendDrop,https://legenddrop.com,2026-04-14,no,legenddrop.com,not contacted,,
2K Services Ltd,1,,no,2KBet,https://2k.bet,2026-04-29,no,2k.bet,not contacted,,
3-102-940372 SRL,1,,no,HelloCasino,https://hellocasino.io,2026-04-29,yes,hellocasino.io,not contacted,,
3-102-952153 SRL,1,,no,Kranz Top,https://kranz.top,2026-04-29,yes,kranz.top,not contacted,,
3-102-952738 SRL,1,,no,Pariland,https://pariland.com,2026-04-29,yes,pariland.com,not contacted,,
3-102-952820 SRL,1,,no,Reeljoy,https://reeljoy.com,2026-04-29,yes,reeljoy.com,not contacted,,
3-102-958311 SRL,1,,no,Cosmoracasinos,https://cosmoracasinos.com,2026-04-29,yes,cosmoracasinos.com,not contacted,,
3-102-959230 SRL,1,,no,Interwin,https://interwin.com,2026-04-29,yes,interwin.com,not contacted,,
Born Champion Entertainment Ltd,1,,no,Ganare,https://ganare.com,2026-04-29,no,ganare.com,not contacted,,
GK INTERACTIVE LTD,1,,no,Sinbet,https://sinbet.co.com,2026-04-29,no,sinbet.co.com,not contacted,,
Luminous Interactive Solutions Ltd,1,,no,Gorilla Casino,https://gorillacasinos.com,2026-04-29,no,gorillacasinos.com,not contacted,,
One Crane Studio Ltd,1,,no,Hype247,https://hype247.bet,2026-04-29,no,hype247.bet,not contacted,,
Blackmere Ltd,1,,no,Play and Predict,https://playandpredict.io,2026-05-11,no,playandpredict.io,not contacted,,
Thornwick Ltd,1,,no,Degenta,https://degenta.com,2026-05-11,no,degenta.com,not contacted,,
Satoshi Labs Ltd,1,,no,Mollydice,https://mollydice.com,2026-05-15,no,mollydice.com,not contacted,,
Skyborn Limited,1,,no,STAR.GG,https://star.gg,2026-05-15,no,star.gg,not contacted,,
